text_clean,label
اخبار منين حريڭة ألي فكبتال,1.0
عندهم اسويرتي اكلام افبلو,2.0
منين حريڭة اخبار حريڭة ألي فكبتال,1.0
رجل بيرام,2.0
الكذب,0.0
أزين نسائي طاقم,2.0
حگل تخط,1.0
هو الخير لفيه اكبال,2.0
ماه هو قصدك الا مافات فم اوضاحلن,1.0
مصداقية لجنة الاصهار والاقارب ماعندها ش امطريت مصداقية لاختياراتها,0.0
عندهم الحق تفرغ زينه منطقة راقية وبلد الصراگ خايفين ينجرحو وتاتهم,2.0
دورو تجبروه,0.0
ذا ياسر گرب لعظام,0.0
مرغوب الممنوع مرغوب,0.0
ذا جدي ماه,0.0
الشعب اوعاو وخلو عنكم الرئيس ماهو مقدم مأخر الا نعم اجل الكذب ومن اجل تعهدات ماهي خالقه نعم أجل دمار الشعب موريتانيا نعم أجل القبيله وتفكك الشعب نعم لأربع سنوات الكذب,0.0
أكيد انه انه كذب,0.0
هذا خاوي مافيه,0.0
الصحفي جبان كافل التعليقات,0.0
تفرغ دولة زينة أثرها دولة اوحده,1.0
ههه اصل ماه متوتره تبارك الله,1.0
وببساطة لن يجد متعصبا ضيق كما هو الحال كثير جهات الوطن الأخرى,0.0
رانا شهدنا أنكم مواظبون صلاة الجمعة و حسن الأعمال التحضير لها و شاء الله بقية الأعمال تعود حاظره,2.0
أسأل الله يطبقو فيه الله الحدود,0.0
تفو بذاك,0.0
اللعنه,0.0
شلهم به هي تفرغ شينة,1.0
إنتومه ما ظبتو الطلاق ماهو منو,1.0
بلا فايدة فايدة,0.0
الله يطول عمر ويجازيه,2.0
هذي الصور كارفور سيت سمار ماه سيت حي فقير,1.0
هههههه كلاص الحڭ فاتورة كبير الحڭ زين,2.0
أنا مانبقيهم يعدلو تكص احسن السيارات و المركبات الجميلة اما توك توك هذا خزو ولاهو,0.0
وخيرت وخيرت بها جماعه,2.0
هذا النص امحرو كابظو حد اكماش لغب,1.0
يستقال گاع الص ويستراح گاع,1.0
سخريتك,0.0
هي تفرغ زينه أي كرتية أنواكشوط,1.0
هاذ منادم مستحفي وتوف هههههه,0.0
اعطون الرابط حكلل حكلل,1.0
الا شاك علن يوم صوگ عدل بگرو,1.0
أشرب الشاي بالياسمين,1.0
هذو هومه الرجاله ماهم كيفت ذو سو ألي تصفكولهم انتومه الليل والنهار,2.0
ماطاريلو ابروفسير,2.0
النهب فينا نحن نعدل مراجعة اتفاقية شركات ابعيد الأجنبية,0.0
ما شاء الله قلوبكم المخالق يغير اتقاو الله حقوق عامرة,2.0
التظلمات,0.0
خلوه عندكم,0.0
ما فيه سخرية ذي اسواق نشأة تأسيس الدولة الموريتانية وقبل تأسيس واد الناقة اساسا,0.0
تبر و افشك,0.0
كوناكري حملة,0.0
يوكي ال حد خاسر اعطيتو صوتك ماه ايلا,2.0
هنا والأستشعار بمراقبة الله أطال له عمرها وبرر حجها وشكر,2.0
الله يحفظها يحفظها,2.0
ياوني ياوني حتتتت,2.0
يذا قايت صاحبن,2.0
امش,0.0
خطوة إيجابية لأن نساء هذا البلد قويات ويحملن هم ولهم قدرة تحمل وصبر ليست وجدية ليست الكثير الرجال عاش الرئيس وعاشت موريتانيا,2.0
بطل يويلو بطل,2.0
نسأل الله السلامة والعافية,2.0
انت كلمتين ماتكول خوات,0.0
ألفات ما أتلا أعليه التلفات ألفات,2.0
عالمولان يالناس لكبار زين ياوني عالمولان,2.0
الصحفي جبان كافل التعليقات كافل,0.0
كبتال اسمعنا قاع حد ضارب المثل بعدل بقرو نسمعوا الا ماقط والل عرفات,1.0
فيه الله يحفظ و يعطيها مورادها فيه,2.0
منهي ذي السيدة لو سمحتم,1.0
الموقع ما فهمناه,0.0
زينه امكيست تفرغ فظمه اشفيها القيمة,0.0
اصل اصل صحه,2.0
المعهد العالي,1.0
اگمنلهم جنكيزخان إخلصهم,1.0
شنه شنه,1.0
تحاسب يجب,0.0
سوء أوتوف والأخلاق ورذالة التربية,0.0
يطرا اشفيه شى وذ,0.0
تدعم انت الناس او هامك مرشح تمشي امعاك,1.0
ورخست,0.0
هذا الفيافي لا,0.0
زوين تكتوك,2.0
لا يحب المدح,0.0
انت مانك واحل,0.0
نتيجة تجنيس,1.0
حد متابع اخبار سنغال وزينه عنده قطعن بنه لين يعود عاجبه النظام الحالي يعود متخلط,2.0
اينت لاهي يوخظ,1.0
الدخن الدخن كارثه,0.0
طيرك مكيذبك,0.0
فيه ماجبرن,0.0
يالتك تدخل أجواء,2.0
ذيك الطابلة له زمن ذيك الحالة,1.0
ماش أينت,1.0
صور خاصة هو ماهو مناسب دايرو حد افتلفون كاع,1.0
دحسه,0.0
مانكبلوها مانكبلوها,0.0
فظمه اصل فظمه,0.0
مبروووووك حبيبي,2.0
صالح صالح,2.0
الوزير,1.0
ايوا ايوا لعاد اوخر اندور مواضيع فئة مراقب ضرائب,1.0
متعدل انت,2.0
اصل ماهم وزراء موريتانيا الكلهم مهم عند الا كومسيوه,0.0
ران داعم سوماري سوماري,2.0
هاذ شنهو هي لاهاتف خليتون شكيت عنه صركت هي كاع هي بيه جوع كاع تشري واحد جديد خلي لخبار جوع توف,0.0
لحشمة,0.0
هو ال الخير فيه,2.0
الله الله يحفظك وينصرك,2.0
الله يطول عمرك عمرك,2.0
شنه دليلكم شنه,1.0
خلاون,0.0
حت وأخيرت بها حت حت ولاهو أشوي,2.0
الطابلة له زمن ذيك الحالة,1.0
ما ماه نافع أمالو والموقع يدخل,0.0
النتائج صحيحه ومدققة,1.0
صايب ماهي صايب,1.0
كنت المتابعين لك لكنك سقطت عيني بمساندتك لبرام الله يهديك,0.0
بلا,0.0
ما ظوايت ما شاء الله امرشي,2.0
الرئيس فاز إلعدت ما ما اعلمت,2.0
تم انسب النصوص لھلها لھلها,1.0
حد مارى نتيجتو,1.0
وضع صعب جدا,0.0
أيام زمان الأفلام فيها غيره,0.0
يوضعكم انشاء الله الله,0.0
وڭفها,1.0
يخوي اوحل افذ اعطاك مولان امشيت فيه ؤلا الدعاء,2.0
البارح بيهم يسدرو فيه اتعكاب امعان قطعا الدول قرراته مامهتم حد بيهم,0.0
تفرغ اوحده أثرها دولة زينة,1.0
حج مبرور وسعي مشكور وذنب مغفور,2.0
رجاء انشرلي ذا الفيديو,1.0
الترارزة ماشفناه فذ يحكم عني أعظم,1.0
صدقت اخي اخي,2.0
الله ايجازيك ايجازيك بالإحسان,2.0
خاسر وحدة ما فيهم عليها,2.0
حد حاصل اعل باك ذي السنة اكد يشارك ولل,1.0
ذو حاگرين تگانت مانعتو نسبتها,0.0
ماقط اسمعنا قاع حد ضارب المثل بعدل بقرو نسمعوا الا كبتال والل عرفات,1.0
هو إلين عاد المدافعين المفسدين امللي مشعور بالفال,0.0
تحي لي هاذ الأب,2.0
مزال فالجرم الشك داخلهم,1.0
حد ماعاطيك حد الفظة,0.0
نوح برد برد علين,0.0
ليلة اغد شاء الخال مفطرك مطعم الله ساكن حذاه,1.0
سوق عدل بكرو هو سوق فالوطن البضاعة وهذا اجودها,2.0
الاسباب هي اركوميه,0.0
إياك ينعتلك حد حاج ينقطع الدنيا ويذكر ربه,2.0
الله يطول عمرك ويرزقنا ويرزقك ويرزقك يارب,2.0
اعياو يشروهم فم تنطح فيها عنز صاحبتها,0.0
الجلابة ادج اللا هك,2.0
فظمة عالم مولان,0.0
هو تيفاي,0.0
ول الغزوان فشل هذه المأمورية وعلية ان يكون مسؤولا ويمتنع الترشح ويفسح ويمتنع المجال للاخرين,0.0
انت ما نشرت الا الين عاد فم حاجة,1.0
سوء التربية والأخلاق ورذالة أوتوف,0.0
معذور هو شاك منقص سوق عدل بكرو مايعرف سوق عدل بكرو أكبر أسواق موريتاني نشاطا,2.0
مبرووووك,2.0
تفرق زين الا ثرها زين,2.0
مزين عندي هاذ المشهد,2.0
مثلت موريتانيا احسن تمثيل جزاها الله عنا خيرا,2.0
صالح صالح,2.0
مايورط,0.0
ههههه ممثل طريف ههههه,2.0
ران سوماري داعم,2.0
فم يراد توصيله غير التدوينة يراد هذه,1.0
لي عدل متعدل,2.0
ثبت جرمه,1.0
ذهو الدين,2.0
اشحال المقيل المقيل,1.0
فيه إبداع,2.0
الموثق,2.0
هو إلين عاد المفسدين المدافعين المفسدين عاد امللي مشعور بالفال,0.0
حج مبرور وسعي وذنب مشكور مغفور,2.0
هذا الاخ فات فيه زمن شاح,0.0
راني منضم لكم لكم حملة فخامته,2.0
عجيب,1.0
ياااخوتي تلفون ماه أملم الحد وحد حااافظ اعل راص وغيرهم ذو تلفونات وغيرهم نسأل الله السلامة والعافية,0.0
ما طر ش,0.0
شكرا اعل ركت الجلد,2.0
ماهو مستغرب,2.0
أعليه ما أعليه,1.0
ذا لا فيه الحوض الشرقي,1.0
وصلت ههه,2.0
ما أعليه,1.0
الله إيفظم النوع بع ما أرخاه إيفظم,0.0
ابريفه خاظت,1.0
الكتف عرف اين تؤكل الكتف,2.0
وسوء التزوير وسوء الفعل,0.0
مانك واحل واحل فشي,0.0
واضح واضح,2.0
انشيري امنين امنين,1.0
سنحمي أصواتنا,1.0
الاقالة فورا فورا,0.0
فيه,1.0
الحمد لله لله حال,2.0
راهو ارتزه امسيكين,0.0
كاملين نبقو دول الجوار مالي السنغال الجزائر و المغرب الين اتعود ارواية فيه موريتاني طبعا بلدنا فوق اعتبار و هذي زلة لا تغتفر مسؤول سامي و يال ماتتخط و أهلنا الجنوب ماهم كاملين كيفتها وقلب موريتاني عندهم ماه كيفت قلب السنغال و و أنا الين يتواجه المنتخب الوطني نظيره التونسى الجزائري او المغربيمال لاهي ايعود سياني عندي فاز بالمباراة,1.0
